lex,antonym
able,unable
abaxial,adaxial
acroscopic,basiscopic
abducent,adducent
nascent,dying
abridged,unabridged
absolute,relative
absorbent,nonabsorbent
adsorbent,nonadsorbent
absorbable,adsorbable
abstemious,gluttonous
abstract,concrete
abundant,scarce
abused,unabused
acceptable,unacceptable
accessible,inaccessible
accommodating,unaccommodating
accurate,inaccurate
accustomed,unaccustomed
acidic,alkaline
amphoteric,acidic
acid-loving,alkaline-loving
acknowledged,unacknowledged
acquisitive,unacquisitive
acropetal,basipetal
active,inactive
passive,active
dormant,active
extinct,active
stative,active
quiet,active
actual,potential
acute,chronic
virulent,avirulent
adaptive,maladaptive
addicted,unaddicted
addictive,nonaddictive
additive,subtractive
addressed,unaddressed
adequate,inadequate
adhesive,nonadhesive
adjective,substantive
adoptable,unadoptable
adorned,unadorned
cholinergic,anticholinergic
adroit,maladroit
advantageous,disadvantageous
adventurous,unadventurous
advisable,inadvisable
well-advised,ill-advised
aerobic,anaerobic
aesthetic,inaesthetic
affected,unaffected
affirmative,negative
acceptive,rejective
afloat,aground
afraid,unafraid
aggressive,unaggressive
agitated,unagitated
agreeable,disagreeable
air-to-surface,air-to-air
surface-to-air,air-to-surface
alert,unalert
algorithmic,heuristic
alienable,inalienable
alive,dead
apocrine,eccrine
artesian,subartesian
live,dead
alphabetic,analphabetic
altricial,precocial
altruistic,egoistic
ambiguous,unambiguous
ambitious,unambitious
ametropic,emmetropic
ample,meager
anabolic,catabolic
anaclinal,cataclinal
anastigmatic,astigmatic
anticlinal,synclinal
anadromous,catadromous
diadromous,anadromous
anabatic,katabatic
anal,oral
analogue,digital
analytic,synthetic
inflectional,derivational
apocarpous,syncarpous
angry,unangry
resentful,unresentful
sentient,insentient
animate,inanimate
animated,unanimated
enlivened,unenlivened
anonymous,onymous
antemortem,postmortem
antecedent,subsequent
antrorse,retrorse
aquatic,terrestrial
amphibious,aquatic
preceding,succeeding
precedented,unprecedented
prehensile,nonprehensile
prenatal,perinatal
postnatal,prenatal
preprandial,postprandial
prewar,postwar
retrograde,anterograde
antemeridian,postmeridian
anterior,posterior
dorsal,ventral
appealable,unappealable
appendaged,unappendaged
appetizing,unappetizing
approachable,unapproachable
appropriate,inappropriate
due,undue
apropos,malapropos
a_priori,a_posteriori
apteral,peripteral
arbitrable,nonarbitrable
columned,noncolumned
arboreal,nonarboreal
arenaceous,argillaceous
armed,unarmed
armored,unarmored
armless,armed
artful,artless
articulate,inarticulate
speaking,nonspeaking
articulated,unarticulated
ashamed,unashamed
assertive,unassertive
associative,nonassociative
attached,unattached
affixed,unaffixed
sessile,pedunculate
vagile,sessile
detached,attached
stuck,unstuck
attachable,detachable
wary,unwary
attentive,inattentive
attractive,unattractive
repulsive,attractive
appealing,unappealing
attributable,unattributable
attributive,predicative
pregnant,nonpregnant
audible,inaudible
sonic,subsonic
supersonic,sonic
auspicious,inauspicious
propitious,unpropitious
authorized,unauthorized
constitutional,unconstitutional
autochthonous,allochthonous
autoecious,heteroecious
autogenous,heterogenous
automatic,manual
available,unavailable
awake,asleep
astringent,nonastringent
aware,unaware
witting,unwitting
alarming,unalarming
anemophilous,entomophilous
reassuring,unreassuring
back,front
leading,following
backed,backless
backward,forward
reverse,forward
balconied,unbalconied
barreled,unbarreled
beaked,beakless
bedded,bedless
beneficed,unbeneficed
stratified,unstratified
ferned,fernless
grassy,grassless
gusseted,ungusseted
hairless,hairy
awned,awnless
bearing,nonbearing
beautiful,ugly
bellied,bellyless
banded,unbanded
belted,unbelted
beneficent,maleficent
malicious,unmalicious
benign,malign
best,worst
better,worse
bettering,worsening
bicameral,unicameral
bidirectional,unidirectional
faced,faceless
bibbed,bibless
unilateral,multilateral
bimodal,unimodal
binaural,monaural
binucleate,trinucleate
mononuclear,binucleate
bipedal,quadrupedal
biped,quadruped
black,white
blond,brunet
blemished,unblemished
bloody,bloodless
bold,timid
bound,unbound
laced,unlaced
tied,untied
tangled,untangled
bordered,unbordered
lotic,lentic
lower-class,middle-class
upper-class,lower-class
brachycephalic,dolichocephalic
brave,cowardly
gutsy,gutless
breast-fed,bottle-fed
breathing,breathless
crystalline,noncrystalline
landed,landless
light,dark
shaded,unshaded
moonlit,moonless
bridgeable,unbridgeable
bright,dull
dimmed,undimmed
prejudiced,unprejudiced
broad-minded,narrow-minded
reconstructed,unreconstructed
broken,unbroken
brotherly,sisterly
exergonic,endergonic
fraternal,identical
buried,unburied
busy,idle
bony,boneless
buttoned,unbuttoned
capitalistic,socialistic
cacophonous,euphonious
calculable,incalculable
calm,stormy
camphorated,uncamphorated
capable,incapable
cared-for,uncared-for
careful,careless
carnivorous,herbivorous
