axis,count
able<-v->unable,106
abaxial<-v->adaxial,0
acroscopic<-v->basiscopic,0
abducent<-v->adducent,0
nascent<-v->dying,2
abridged<-v->unabridged,0
absolute<-v->relative,42
absorbent<-v->nonabsorbent,0
adsorbent<-v->nonadsorbent,0
absorbable<-v->adsorbable,0
abstemious<-v->gluttonous,0
abstract<-v->concrete,15
abundant<-v->scarce,1
abused<-v->unabused,1
acceptable<-v->unacceptable,3
accessible<-v->inaccessible,0
accommodating<-v->unaccommodating,0
accurate<-v->inaccurate,14
accustomed<-v->unaccustomed,7
acidic<-v->alkaline,2
amphoteric<-v->acidic,0
acid-loving<-v->alkaline-loving,0
acknowledged<-v->unacknowledged,0
acquisitive<-v->unacquisitive,0
acropetal<-v->basipetal,0
active<-v->inactive,37
passive<-v->active,39
dormant<-v->active,33
extinct<-v->active,33
stative<-v->active,33
quiet<-v->active,61
actual<-v->potential,48
acute<-v->chronic,14
virulent<-v->avirulent,1
adaptive<-v->maladaptive,0
addicted<-v->unaddicted,1
addictive<-v->nonaddictive,0
additive<-v->subtractive,0
addressed<-v->unaddressed,1
adequate<-v->inadequate,36
adhesive<-v->nonadhesive,0
adjective<-v->substantive,1
adoptable<-v->unadoptable,0
adorned<-v->unadorned,0
cholinergic<-v->anticholinergic,0
adroit<-v->maladroit,1
advantageous<-v->disadvantageous,1
adventurous<-v->unadventurous,1
advisable<-v->inadvisable,2
well-advised<-v->ill-advised,0
aerobic<-v->anaerobic,2
aesthetic<-v->inaesthetic,12
affected<-v->unaffected,8
affirmative<-v->negative,15
acceptive<-v->rejective,0
afloat<-v->aground,1
afraid<-v->unafraid,34
aggressive<-v->unaggressive,6
agitated<-v->unagitated,3
agreeable<-v->disagreeable,0
air-to-surface<-v->air-to-air,0
surface-to-air<-v->air-to-surface,0
alert<-v->unalert,7
algorithmic<-v->heuristic,0
alienable<-v->inalienable,0
alive<-v->dead,97
apocrine<-v->eccrine,0
artesian<-v->subartesian,0
live<-v->dead,86
alphabetic<-v->analphabetic,0
altricial<-v->precocial,0
altruistic<-v->egoistic,0
ambiguous<-v->unambiguous,17
ambitious<-v->unambitious,9
ametropic<-v->emmetropic,0
ample<-v->meager,14
anabolic<-v->catabolic,0
anaclinal<-v->cataclinal,0
anastigmatic<-v->astigmatic,0
anticlinal<-v->synclinal,0
anadromous<-v->catadromous,0
diadromous<-v->anadromous,0
anabatic<-v->katabatic,0
anal<-v->oral,6
analogue<-v->digital,0
analytic<-v->synthetic,20
inflectional<-v->derivational,0
apocarpous<-v->syncarpous,0
angry<-v->unangry,18
resentful<-v->unresentful,4
sentient<-v->insentient,1
animate<-v->inanimate,2
animated<-v->unanimated,2
enlivened<-v->unenlivened,0
anonymous<-v->onymous,8
antemortem<-v->postmortem,0
antecedent<-v->subsequent,5
antrorse<-v->retrorse,0
aquatic<-v->terrestrial,2
amphibious<-v->aquatic,0
preceding<-v->succeeding,10
precedented<-v->unprecedented,5
prehensile<-v->nonprehensile,0
prenatal<-v->perinatal,0
postnatal<-v->prenatal,0
preprandial<-v->postprandial,0
prewar<-v->postwar,5
retrograde<-v->anterograde,0
antemeridian<-v->postmeridian,0
anterior<-v->posterior,8
dorsal<-v->ventral,0
appealable<-v->unappealable,0
appendaged<-v->unappendaged,0
appetizing<-v->unappetizing,0
approachable<-v->unapproachable,1
appropriate<-v->inappropriate,31
due<-v->undue,10
apropos<-v->malapropos,0
a_priori<-v->a_posteriori,0
apteral<-v->peripteral,0
arbitrable<-v->nonarbitrable,0
columned<-v->noncolumned,1
arboreal<-v->nonarboreal,1
arenaceous<-v->argillaceous,0
armed<-v->unarmed,11
