lex,antonym
natural_object,artifact
overachievement,underachievement
appearance,disappearance
retreat,advance
disembarkation,embarkation
passing,failing
call_option,put_option
best,worst
fair_ball,foul_ball
loosening,tightening
monetization,demonetization
split_ticket,straight_ticket
earned_run,unearned_run
promotion,demotion
finish,start
stillbirth,live_birth
deactivation,activation
contamination,decontamination
rising_trot,sitting_trot
domestic_flight,international_flight
acceleration,deceleration
opening,closing
pronation,supination
decrease,increase
minimization,maximization
compression,decompression
subtraction,addition
deflation,inflation
weakening,strengthening
dilution,concentration
appreciation,depreciation
contraction,expansion
extension,flexion
union,disunion
tribalization,detribalization
tribalisation,detribalisation
widening,narrowing
activity,inactivity
day_game,night_game
away_game,home_game
hardball,softball
ground_stroke,volley
major_surgery,minor_surgery
allopathy,homeopathy
loading,unloading
actual_sin,original_sin
mortal_sin,venial_sin
grand_larceny,petit_larceny
hyperpnea,hypopnea
assortative_mating,disassortative_mating
disapproval,approval
assembly,disassembly
continuance,discontinuance
continuation,discontinuation
nonproliferation,proliferation
non-proliferation,proliferation
downtick,uptick
retail,wholesale
payment,nonpayment
criminalization,decriminalization
criminalisation,decriminalisation
enfranchisement,disenfranchisement
classification,declassification
nationalization,denationalization
mobilization,demobilization
arming,disarming
armament,disarmament
stabilization,destabilization
stabilisation,destabilisation
obedience,disobedience
competition,cooperation
noncompliance,compliance
reversal,affirmation
conviction,acquittal
judgment_in_personam,judgment_in_rem
general_verdict,special_verdict
prosecution,defense
segregation,integration
conformity,nonconformity
observance,nonobservance
service,disservice
attendance,nonattendance
presence,absence
centralization,decentralization
engagement,non-engagement
participation,nonparticipation
involvement,non-involvement
female,male
parasite,host
eukaryote,prokaryote
soft-finned_fish,spiny-finned_fish
ratite,carinate
anapsid,diapsid
diving_duck,dabbling_duck
zygodactyl_foot,heterodactyl_foot
odd-toed_ungulate,even-toed_ungulate
heterocercal_fin,homocercal_fin
plantigrade_mammal,digitigrade_mammal
high_relief,low_relief
anode,cathode
antagonist,synergist
infield,outfield
black,white
blunt_file,taper_file
brand-name_drug,generic_drug
closed_circuit,open_circuit
custom-made,ready-made
dedicated_file_server,non-dedicated_file_server
dry-bulb_thermometer,wet-bulb_thermometer
dry_fly,wet_fly
dumb_bomb,smart_bomb
electrolytic_cell,voltaic_cell
export,import
express,local
fast_lane,slow_lane
fast_reactor,thermal_reactor
front,rear
hand_mower,power_mower
hard_drug,soft_drug
hardware,software
head,tail
in-basket,out-basket
larboard,starboard
location,studio
mobile,stabile
non-volatile_storage,volatile_storage
nonvolatile_storage,volatile_storage
obverse,reverse
overgarment,undergarment
over-the-counter_drug,prescription_drug
over-the-counter_medicine,prescription_medicine
rotor,stator
submersible,surface_ship
outwardness,inwardness
otherworldliness,worldliness
extraversion,introversion
ambiversion,extraversion
emotionality,unemotionality
cheerfulness,uncheerfulness
activeness,inactiveness
permissiveness,unpermissiveness
good_nature,ill_nature
patience,impatience
agreeableness,disagreeableness
sharpness,dullness
willingness,unwillingness
seriousness,frivolity
communicativeness,uncommunicativeness
sociability,unsociability
openness,closeness
friendliness,unfriendliness
approachability,unapproachability
congeniality,uncongeniality
neighborliness,unneighborliness
hospitableness,inhospitableness
adaptability,unadaptability
flexibility,inflexibility
thoughtfulness,unthoughtfulness
attentiveness,inattentiveness
carefulness,carelessness
mindfulness,unmindfulness
heedfulness,heedlessness
caution,incaution
wariness,unwariness
masculinity,femininity
trustworthiness,untrustworthiness
trustiness,untrustiness
responsibility,irresponsibility
responsibleness,irresponsibleness
dependability,undependability
dependableness,undependableness
reliability,unreliability
reliableness,unreliableness
conscientiousness,unconscientiousness
hairiness,hairlessness
beauty,ugliness
pleasingness,unpleasingness
attractiveness,unattractiveness
clarity,opacity
distinctness,indistinctness
softness,sharpness
acuteness,obtuseness
conspicuousness,inconspicuousness
obtrusiveness,unobtrusiveness
ease,difficulty
effortlessness,effortfulness
compatibility,incompatibility
congruity,incongruity
congruousness,incongruousness
suitability,unsuitability
suitableness,unsuitableness
appropriateness,inappropriateness
felicity,infelicity
aptness,inaptness
appositeness,inappositeness
fitness,unfitness
eligibility,ineligibility
insurability,uninsurability
convenience,inconvenience
opportuneness,inopportuneness
accessibility,inaccessibility
availability,unavailability
superiority,inferiority
high_quality,low_quality
changeableness,changelessness
reversibility,irreversibility
inconstancy,constancy
variability,invariability
variableness,invariableness
variedness,unvariedness
exchangeability,unexchangeability
convertibility,inconvertibility
mutability,immutability
mutableness,immutableness
alterability,unalterability
sameness,difference
similarity,dissimilarity
likeness,unlikeness
similitude,dissimilitude
uniformity,nonuniformity
homogeneity,heterogeneity
consistency,inconsistency
equality,inequality
equivalence,nonequivalence
evenness,unevenness
certainty,uncertainty
conclusiveness,inconclusiveness
predictability,unpredictability
probability,improbability
likelihood,unlikelihood
likeliness,unlikeliness
factuality,counterfactuality
concreteness,abstractness
tangibility,intangibility
palpability,impalpability
materiality,immateriality
corporeality,incorporeality
substantiality,insubstantiality
reality,unreality
particularity,generality
individuality,commonality
simplicity,complexity
regularity,irregularity
steadiness,unsteadiness
mobility,immobility
motility,immotility
movability,immovability
movableness,immovableness
looseness,tightness
instability,stability
unstableness,stableness
fixedness,looseness
pleasantness,unpleasantness
niceness,nastiness
credibility,incredibility
plausibility,implausibility
logicality,illogicality
logicalness,illogicalness
naturalness,unnaturalness
unaffectedness,affectedness
unpretentiousness,pretentiousness
wholesomeness,unwholesomeness
healthfulness,unhealthfulness
salubrity,insalubrity
salubriousness,insalubriousness
satisfactoriness,unsatisfactoriness
adequacy,inadequacy
acceptability,unacceptability
admissibility,inadmissibility
permissibility,impermissibility
ordinariness,extraordinariness
expectedness,unexpectedness
commonness,uncommonness
usualness,unusualness
familiarity,unfamiliarity
foreignness,nativeness
originality,unoriginality
unorthodoxy,orthodoxy
unconventionality,conventionality
correctness,incorrectness
rightness,wrongness
accuracy,inaccuracy
exactness,inexactness
preciseness,impreciseness
precision,imprecision
infallibility,fallibility
inerrancy,errancy
worthiness,unworthiness
popularity,unpopularity
legality,illegality
lawfulness,unlawfulness
legitimacy,illegitimacy
licitness,illicitness
elegance,inelegance
