adj1,adj2
loud,quiet
scary,unalarming
fast,slow
jumpy,relaxed
busy,idle
ferocious,nonviolent
free,unfree
funny,humorless
big,small
wise,foolish
independent,dependent
strong,weak
fat,thin
cold,hot
loyal,disloyal
dirty,clean
smart,stupid
scaly,smooth
sly,artless
slimy,nonslippery
striped,unpatterned
mean,nice
blind,sighted
bouncy,inelastic
graceful,awkward
lazy,industrious
friendly,unfriendly
wet,dry
dangerous,unalarming
heavy,weightless
hungry,full
exotic,native
annoying,agreeable
nocturnal,diurnal
beautiful,ugly
angry,unangry
playful,unplayful
wild,tame
soft,hard
slow,fast
happy,unhappy
smelly,fragrant
majestic,inferior
